Simulation,Method,Area,Time
1,Random Sampling,1.521369,6.364378929138184
1,LHS,1.5176880000000001,6.379136085510254
1,Orthogonal Sampling,1.5218009999999997,6.236543893814087
2,Random Sampling,1.5245639999999998,6.262606143951416
2,LHS,1.522584,6.299099922180176
2,Orthogonal Sampling,1.5216660000000002,6.205067157745361
3,Random Sampling,1.519317,6.2686967849731445
3,LHS,1.5179490000000002,6.332208871841431
3,Orthogonal Sampling,1.5220439999999997,6.402323007583618
4,Random Sampling,1.525932,6.391708850860596
4,LHS,1.519866,6.370646953582764
4,Orthogonal Sampling,1.522062,6.192535161972046
5,Random Sampling,1.520289,6.335489749908447
5,LHS,1.519416,6.326318025588989
5,Orthogonal Sampling,1.522053,6.292293310165405
6,Random Sampling,1.521522,6.253610849380493
6,LHS,1.522899,6.314197063446045
6,Orthogonal Sampling,1.521639,6.305649042129517
7,Random Sampling,1.519596,6.4092957973480225
7,LHS,1.519668,6.390961170196533
7,Orthogonal Sampling,1.5214320000000001,6.454654932022095
8,Random Sampling,1.520073,6.417859077453613
8,LHS,1.522215,6.409610986709595
8,Orthogonal Sampling,1.521729,6.311340808868408
9,Random Sampling,1.518894,6.324688911437988
9,LHS,1.5202170000000002,6.32921290397644
9,Orthogonal Sampling,1.521936,6.326918840408325
10,Random Sampling,1.522863,6.3501551151275635
10,LHS,1.5218820000000002,6.361952066421509
10,Orthogonal Sampling,1.5217380000000003,6.2329261302948

Method,Mean Area,Variance,STD,95% Confidence Interval,Average Time
Random Sampling,1.5214419,4.955716889999985e-06,0.0022261439508710987,"[1.5201, 1.5228]",6.337849020957947
LHS,1.5204384000000002,3.1675730399998484e-06,0.0017797676927059464,"[1.5193, 1.5215]",6.351334404945374
Orthogonal Sampling,1.52181,3.9787199999974465e-08,0.00019946729055154497,"[1.5217, 1.5219]",6.296025228500366
