Simulation,Method,Area,Time
1,Random Sampling,1.520964,1.8643760681152344
1,Antithetic Random Sampling,1.5193619999999999,0.5679700374603271
1,LHS,1.520793,1.4286589622497559
1,Antithetic Latin Sampling,1.525644,1.449470043182373
1,Orthogonal Sampling,1.521207,0.9557540416717529
1,Antithetic Orthogonal Sampling,1.522143687393593,0.344440221786499
2,Random Sampling,1.5250319999999997,1.2817389965057373
2,Antithetic Random Sampling,1.5218279999999997,0.2325739860534668
2,LHS,1.5198930000000002,1.3479506969451904
2,Antithetic Latin Sampling,1.5235739999999998,1.3006060123443604
2,Orthogonal Sampling,1.5215489999999998,0.5021188259124756
2,Antithetic Orthogonal Sampling,1.5219816384548133,0.20971202850341797
3,Random Sampling,1.5232769999999998,1.265613079071045
3,Antithetic Random Sampling,1.5186419999999998,0.2349410057067871
3,LHS,1.520568,1.301928997039795
3,Antithetic Latin Sampling,1.519506,1.2648069858551025
3,Orthogonal Sampling,1.5215040000000002,0.5630331039428711
3,Antithetic Orthogonal Sampling,1.5231159810262698,0.2097930908203125
4,Random Sampling,1.5208199999999998,1.2768707275390625
4,Antithetic Random Sampling,1.5219719999999999,0.2335660457611084
4,LHS,1.5203609999999999,1.3092880249023438
4,Antithetic Latin Sampling,1.5209460000000001,1.2715492248535156
4,Orthogonal Sampling,1.521936,0.5056900978088379
4,Antithetic Orthogonal Sampling,1.5218015840783914,0.20877885818481445
5,Random Sampling,1.5190379999999999,1.268728256225586
5,Antithetic Random Sampling,1.523844,0.23398590087890625
5,LHS,1.525491,1.3035762310028076
5,Antithetic Latin Sampling,1.519326,1.268765926361084
5,Orthogonal Sampling,1.5221970000000002,0.49997806549072266
5,Antithetic Orthogonal Sampling,1.5217655732031075,0.20722198486328125
6,Random Sampling,1.5186600000000001,1.2627263069152832
6,Antithetic Random Sampling,1.516428,0.23140406608581543
6,LHS,1.51911,1.2939159870147705
6,Antithetic Latin Sampling,1.52379,1.2628836631774902
6,Orthogonal Sampling,1.5220349999999998,0.49164533615112305
6,Antithetic Orthogonal Sampling,1.522053660205382,0.2081737518310547
7,Random Sampling,1.525842,1.2552251815795898
7,Antithetic Random Sampling,1.531278,0.2340989112854004
7,LHS,1.51947,1.2906732559204102
7,Antithetic Latin Sampling,1.5185160000000002,1.2631759643554688
7,Orthogonal Sampling,1.522062,0.5093381404876709
7,Antithetic Orthogonal Sampling,1.522053660205382,0.21461796760559082
8,Random Sampling,1.525194,1.255660057067871
8,Antithetic Random Sampling,1.522494,0.2328178882598877
8,LHS,1.5232859999999997,1.2883622646331787
8,Antithetic Latin Sampling,1.5228540000000002,1.2721190452575684
8,Orthogonal Sampling,1.5218820000000002,0.49667906761169434
8,Antithetic Orthogonal Sampling,1.5225218015840785,0.20831084251403809
9,Random Sampling,1.5181019999999998,1.2618858814239502
9,Antithetic Random Sampling,1.5225120000000003,0.2316150665283203
9,LHS,1.522413,1.302950143814087
9,Antithetic Latin Sampling,1.5226739999999999,1.2610831260681152
9,Orthogonal Sampling,1.5220349999999998,0.5018601417541504
9,Antithetic Orthogonal Sampling,1.521963633017171,0.21010208129882812
10,Random Sampling,1.527057,1.2676711082458496
10,Antithetic Random Sampling,1.5219,0.23978877067565918
10,LHS,1.520838,1.3277239799499512
10,Antithetic Latin Sampling,1.5175260000000002,1.2721138000488281
10,Orthogonal Sampling,1.521603,0.5266480445861816
10,Antithetic Orthogonal Sampling,1.5216935514525387,0.21523594856262207
11,Random Sampling,1.51983,1.2769238948822021
11,Antithetic Random Sampling,1.5126300000000001,0.22954201698303223
11,LHS,1.5175080000000003,1.2926054000854492
11,Antithetic Latin Sampling,1.5203339999999999,1.2687528133392334
11,Orthogonal Sampling,1.5219719999999999,0.5046670436859131
11,Antithetic Orthogonal Sampling,1.5215855188266856,0.2117760181427002
12,Random Sampling,1.522377,1.2533667087554932
12,Antithetic Random Sampling,1.5187680000000001,0.23254084587097168
12,LHS,1.5231960000000002,1.290696144104004
12,Antithetic Latin Sampling,1.519092,1.2573049068450928
12,Orthogonal Sampling,1.521639,0.5021510124206543
12,Antithetic Orthogonal Sampling,1.5219456275795293,0.21111011505126953
13,Random Sampling,1.5256619999999999,1.2547318935394287
13,Antithetic Random Sampling,1.523736,0.23366117477416992
13,LHS,1.522872,1.2864689826965332
13,Antithetic Latin Sampling,1.52451,1.2632229328155518
13,Orthogonal Sampling,1.522503,0.4931662082672119
13,Antithetic Orthogonal Sampling,1.5210453556974208,0.2073349952697754
14,Random Sampling,1.522584,1.2532479763031006
14,Antithetic Random Sampling,1.5135839999999998,0.23384499549865723
14,LHS,1.5220439999999997,1.2924926280975342
14,Antithetic Latin Sampling,1.5255,1.2606263160705566
14,Orthogonal Sampling,1.5219810000000003,0.5089893341064453
14,Antithetic Orthogonal Sampling,1.521405464450264,0.20974278450012207
15,Random Sampling,1.518723,1.253235101699829
15,Antithetic Random Sampling,1.5267420000000003,0.23309111595153809
15,LHS,1.5224309999999999,1.288482904434204
15,Antithetic Latin Sampling,1.521648,1.2596468925476074
15,Orthogonal Sampling,1.5217110000000003,0.5038437843322754
15,Antithetic Orthogonal Sampling,1.522467785271152,0.20900607109069824
16,Random Sampling,1.5224309999999999,1.2508039474487305
16,Antithetic Random Sampling,1.524798,0.2333688735961914
16,LHS,1.5231960000000002,1.2912919521331787
16,Antithetic Latin Sampling,1.5190020000000002,1.2582099437713623
16,Orthogonal Sampling,1.5217380000000003,0.49939393997192383
16,Antithetic Orthogonal Sampling,1.522683850522858,0.20810484886169434
17,Random Sampling,1.5196230000000002,1.2511711120605469
17,Antithetic Random Sampling,1.5190379999999999,0.23413586616516113
17,LHS,1.523637,1.290837049484253
17,Antithetic Latin Sampling,1.52055,1.2589280605316162
17,Orthogonal Sampling,1.5215940000000001,0.4927060604095459
17,Antithetic Orthogonal Sampling,1.5216215297019702,0.20861101150512695
18,Random Sampling,1.5205319999999998,1.2502360343933105
18,Antithetic Random Sampling,1.516122,0.2314438819885254
18,LHS,1.5227190000000002,1.2896418571472168
18,Antithetic Latin Sampling,1.522656,1.2590069770812988
18,Orthogonal Sampling,1.5219,0.4906129837036133
18,Antithetic Orthogonal Sampling,1.5223057363323726,0.20961880683898926
19,Random Sampling,1.5214320000000001,1.2493789196014404
19,Antithetic Random Sampling,1.528218,0.23381614685058594
19,LHS,1.518696,1.2934467792510986
19,Antithetic Latin Sampling,1.5215040000000002,1.2581517696380615
19,Orthogonal Sampling,1.521954,0.4911370277404785
